map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
5,78.6563,7,0,7,20_60nm,75.50072986884459,6,-0.07846337934623575,7.1282041910614815,0.9882463373456364,12.74479901747916,negative_log_slope
5,78.6563,8,1,7,20_60nm,62.1460887708164,9,-0.033484763993328386,5.454974171516481,0.9091881140109318,29.864328749614103,negative_log_slope
5,78.6563,9,1,6,20_60nm,-7.0310330339504,6,-0.08784274495360167,6.977509412721708,0.9842006529161762,11.383979411483528,negative_log_slope
5,78.6563,10,1,5,20_60nm,14.091737542754911,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,11,1,4,20_60nm,62.74134017638584,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,12,1,3,20_60nm,-43.34802500625844,6,-0.05690851297110872,5.812796693218134,0.8343278898398114,17.572063436408527,negative_log_slope
5,78.6563,13,1,2,20_60nm,-88.07595905359764,3,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,14,1,1,20_60nm,67.81505439644678,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,15,1,0,20_60nm,-10.085078057466871,6,-0.0683026090348548,6.384465775311702,0.9691145707651319,14.640729162918218,negative_log_slope
5,78.6563,16,2,0,20_60nm,-54.263383167121255,3,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,17,2,1,20_60nm,-34.47693009512329,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,18,2,2,20_60nm,21.77097126450327,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,19,2,3,20_60nm,55.15905145223715,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,20,2,4,20_60nm,-27.176725673326555,4,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,21,2,5,20_60nm,-84.88171087122556,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,22,2,6,20_60nm,-70.16271808414122,9,-0.07077435535777213,7.480343550754141,0.9875223939309341,14.129411634269085,negative_log_slope
5,78.6563,23,2,7,20_60nm,-9.786279825671938,9,-0.05890920548487592,6.905629936834214,0.9758470611582931,16.975275625754882,negative_log_slope
5,78.6563,24,3,7,20_60nm,24.447027675267073,9,-0.04497032228761828,6.800116706620515,0.9686119066638865,22.236887554513498,negative_log_slope
