map_order,relative_time_min,point_index,row,column,best_lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,best_zeta_magnitude_mV,zeta_profile_low_mV,zeta_profile_high_mV,profile_grid_points,profile_log_lambda_zeta_correlation,profile_lambda_hits_grid_boundary,profile_zeta_hits_grid_boundary,profile_status
4,53.33301666666667,13,1,2,7.1323172791695315,4.161791450287818,10.767970476385223,17.5,13.0,38.5,103,-0.9287152836131206,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,14,1,1,9.48607856330461,6.909853976110125,13.44207608814922,17.5,14.5,22.0,52,-0.863075551071684,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,15,1,0,13.02280581041226,11.114646149663537,14.7826298876199,20.5,19.0,22.0,17,-0.7018100265975379,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,16,2,0,10.767970476385223,7.843610308975431,14.7826298876199,16.0,14.5,19.0,39,-0.7716499775145318,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,17,2,1,8.62583929892546,5.362589971320985,12.223089594559632,14.5,11.5,23.5,62,-0.9118198156726809,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,18,2,2,5.362589971320985,2.3527088612123075,11.841840586928083,17.5,8.5,250.0,802,-0.7497827222343553,False,True,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,19,2,3,8.62583929892546,6.485527425110586,12.223089594559632,16.0,13.0,20.5,40,-0.8995157290810267,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,20,2,4,11.472483074052871,10.432107924894561,13.44207608814922,19.0,17.5,19.0,11,-0.6970191489844384,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,21,2,5,14.7826298876199,13.44207608814922,15.749808336458166,20.5,20.5,20.5,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,22,2,6,19.047850843082976,18.453731477822707,20.294088553975286,29.5,29.5,29.5,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,23,2,7,19.66109792896721,18.453731477822707,20.94745836293309,31.0,31.0,31.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,24,3,7,16.25687467927739,15.749808336458166,16.780266063679814,34.0,34.0,34.0,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
