model,map_order,relative_time_min,point_index,row,column,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rss_pN2,rmse_pN,r2,aic_correlated_bins_diagnostic,bic_correlated_bins_diagnostic,delta_aic_to_best_same_curve,aic_winner_tie_inclusive
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,0,0,0,13.874844806111179,58.0,-58.0,-130.9987027468987,12311.911103174192,18.2415556940696,0.9920261275466976,220.87396807281252,225.7067218107452,1.9544865975931884,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,1,0,1,13.02280581041226,37.0,-37.0,-32.1212662800965,13162.358557966416,18.861055656711763,0.9495657383378995,223.34534442255008,228.17809816048276,0.45112517649124584,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,2,0,2,11.841840586928083,37.0,-37.0,0.5759148078983429,10641.184228228558,16.95876097289855,0.9521309814973254,215.47805831703343,220.3108120549661,0.8957897792018628,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,3,0,3,12.223089594559632,29.5,-29.5,53.11989566945232,9295.9743358694,15.850632467447218,0.9102364394308533,210.47749580987482,215.3102495478075,1.8577531448571563,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,4,0,4,11.114646149663537,25.0,-25.0,-38.32517030297898,9538.971688246063,16.056464294117557,0.8133146581487926,211.43225309036592,216.2650068282986,1.2403439219154109,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,5,0,5,9.48607856330461,23.5,-23.5,-115.49211000199533,15579.876154302849,20.520178700490817,0.6093601193741723,229.5842459360519,234.41699967398458,1.5563282291585665,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,6,0,6,14.321546547664008,29.5,-29.5,-102.14683359020349,7643.382420502186,14.372818208577462,0.9314472055427346,203.23507107934591,208.0678248172786,0.8809090660641914,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,7,0,7,20.94745836293309,43.0,-43.0,-40.44680353309218,7664.964378792751,14.393095547061137,0.985718280319552,203.3393975616592,208.1721512995919,7.496392797724496,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,8,1,7,21.62186346530268,37.0,-37.0,-13.610448546687103,5691.926909073283,12.403058590822912,0.9813688836611411,192.32778960316804,197.16054334110072,3.181498477235351,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,4,53.33301666666667,9,1,6,19.047850843082976,31.0,-31.0,-66.37219289561779,6973.9938566836745,13.729032028912677,0.959996237665897,199.84394104699228,204.67669478492496,1.000648505536219,False
