acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,115.0,64,147.82561265232863,123.945689289724,171.38404960529084,36.20071187877023
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,120.0,64,131.422275776597,108.94094959433829,161.11552897752026,40.90529305205352
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,125.0,64,136.6156783570093,107.73875328199193,165.9627511085793,43.77124834655132
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,130.0,64,121.80160713261802,102.36828424776357,152.86909482660542,33.39066232619704
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,135.0,64,127.7537073678634,97.33743488481242,141.64281657276513,42.697985830050214
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,140.0,64,105.05149337316124,85.66084039724782,135.38842351728067,36.31849220940386
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,145.0,64,108.95144518250166,75.29409862595037,128.44827176021855,38.578327078735114
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,150.0,64,101.26449960658994,78.63186133799769,127.26275075882049,36.01560393890889
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,155.0,64,85.2253521846851,63.766604447260384,114.48268641488858,39.563285051206236
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,160.0,64,87.82091859282434,65.59440242784667,106.42774911603712,31.9952540252883
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,165.0,64,83.17042039838367,66.42024865225207,104.34131399762629,25.806665249201707
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,170.0,64,88.60064055922601,61.35966869268046,107.11552078361501,38.67677620598606
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,175.0,64,71.3089809587529,48.287492331864954,98.60301063286154,38.054001961390895
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,180.0,64,70.4023344447313,49.54461030918513,100.19027988582198,36.08352106387135
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,185.0,64,68.49738933505293,49.73426815527177,92.91250485586369,32.726793922445076
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,190.0,64,63.14397666706529,36.0507465644407,87.69140121245415,39.554073867892704
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,195.0,64,51.12372000860104,25.240738082328576,77.52268393605476,39.34789074060945
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,200.0,64,56.1702174899747,27.05515770862556,76.99879917946137,37.38288742676727
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,205.0,64,54.603732318072474,22.671000595965943,71.31883869349078,35.76508431594459
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,210.0,64,52.474179964942735,29.422836484275955,79.08721412863042,39.54503462666783
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,215.0,64,40.14450640903191,21.648993734070746,71.7972618969365,33.514362377304785
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,220.0,64,28.404988095354376,6.898749271158778,56.353712180896125,39.34467296723903
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,225.0,64,34.13995308440411,16.00771864409178,58.89825859890582,33.032899966311916
