concentration_wt_percent,primary_included,source,timestamp,metric,valid_pixels,median,mad,robust_slope_per_acquisition,robust_change_across_map,pearson_correlation_acquisition_order,spatial_plane_column_slope_per_pixel,spatial_plane_row_slope_per_pixel,spatial_plane_r2,spatial_plane_inliers
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_contact_response_ratio,111,0.9650020247258569,0.010775055795062256,-5.031307031771756e-05,-0.005534437734948932,-0.19473959114979617,0.0001681893990376301,-0.0006849646126892478,0.018108678489922814,107
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_contact_height_um,111,6.916451373792482,0.007815561665039826,0.00020508027798397843,0.022558830578237626,0.8727485584281902,-0.0004538730352220575,0.003292737795599365,0.9526042128184407,109
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_terminal_load_nN,111,6.699942826798849,0.14733359979084462,0.0013489956205494109,0.1483895182604352,0.33459892162295907,-0.002049846540043296,0.02005295732100255,0.10156089919436828,111
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_far_slope_pN_per_100nm,111,4.343188455168564,7.6409729568088816,0.08833564730039657,9.716921203043622,0.4211664025715261,0.12283015807392461,1.359324364663525,0.16725532912913588,111
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_snap_distance_nm,108,16.29240208919588,7.118331770029228,-0.005244278682162754,-0.5716263763557402,-0.00470561485299176,0.08086119795892088,0.023284912510246447,0.0022307740092736283,108
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_barrier_force_nN,108,1.8586307218367089,0.6287762362410751,0.0038379711403817166,0.4183388543016071,0.1959702714300595,-0.0034944181409194836,0.05982058388221091,0.03710871383804615,108
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,retract_contact_invOLS_nm_per_V,8,58.714195542503866,0.29606646296981615,0.02116830871529282,1.4394449926399115,0.4077117585358694,-0.04928004222388542,0.36394231425870366,0.23121787986016673,8
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,retract_detachment_piezo_travel_nm,8,820.5144675050333,51.05137713527708,-4.5227777032854855,-307.548883823413,-0.49544574448555895,11.848383281976941,-73.77563436752568,0.32223321243776704,8
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,retract_pull_off_force_nN,1,-7.478101118305371,0.0,nan,nan,nan,nan,nan,nan,0
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_contact_invOLS_nm_per_V,208,59.02548450429656,0.9717255950275641,-0.01411108592085214,-2.920994785616393,-0.8325836657412369,0.0058803224486778105,-0.22674623512732586,0.8195957213881001,204
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_contact_response_ratio,208,0.9940291984922532,0.01618479881547114,0.00024265167388517065,0.050228896494230325,0.8367770898821576,-0.0001102955600057404,0.0038282054732920266,0.8194674010256213,203
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_contact_height_um,208,6.953448288348522,0.011592649141034004,0.0001603056183542374,0.03318326299932714,0.26033758231064674,-0.0004409849718994257,0.0025742375771387613,0.9718791546240747,205
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_terminal_load_nN,208,18.411448344091752,0.15874281646680347,0.0005592843128851523,0.11577185276722653,0.21383396831539253,0.002570463655526668,0.0100583948952296,0.06623206604736132,207
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_far_slope_pN_per_100nm,208,8.490334400688832,12.71377428882924,0.07450427097835012,15.422384092518476,0.3810591921424132,0.017582685776589724,1.1767925088983007,0.13111372424632706,207
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_snap_distance_nm,184,13.848209874948662,5.302279091395039,-0.0021828255055269517,-0.44966205413855204,0.02771108019755124,-0.16658346023884235,-0.026896487192133625,0.020829766334033883,174
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,approach_barrier_force_nN,184,2.5470237309140646,0.9708367810784229,0.0012453769782105862,0.25654765751138076,0.07747993262147869,0.05693217552266523,0.018193294352344194,0.07901008144300137,184
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,retract_contact_invOLS_nm_per_V,12,57.909866566147706,0.34601879678733904,-0.009653483496304306,-1.5638643264012975,-0.20541586551147023,-0.00380779481272589,-0.15162401253522964,0.5998581945977333,10
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,retract_detachment_piezo_travel_nm,12,785.0862186081511,53.10726363578454,0.07698340287408349,12.471311265601527,0.2278946788860677,2.623644516851265,0.9002403289454439,0.0671476082763034,11
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,retract_pull_off_force_nN,1,-67.75973549037194,0.0,nan,nan,nan,nan,nan,nan,0
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_contact_invOLS_nm_per_V,101,57.90508361837222,0.4860727857302322,-0.011164426758511172,-1.1164426758511172,-0.5393627396031834,0.004370749111748673,-0.17439130610143436,0.5323694332246943,92
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_contact_response_ratio,101,1.0132625529666317,0.00845774560271265,0.0002064749016913172,0.02064749016913172,0.5464254070351071,-0.00012790770280470595,0.003189497267153554,0.5392667556024728,93
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_contact_height_um,101,6.97968773053914,0.0029460769881472977,-4.84154143675917e-05,-0.00484154143675917,-0.526799897031522,-0.000435944582503586,-0.0008420017523481046,0.828884601720451,99
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_terminal_load_nN,101,18.567791068437952,0.1684327259062588,-0.0010160629420975158,-0.10160629420975158,-0.06468431843670805,0.0005215715651109491,-0.01475374373035756,0.02626723951533938,99
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_far_slope_pN_per_100nm,101,23.192390295303767,17.832215628408704,-0.02522470975607764,-2.522470975607764,-0.04600997957810822,0.0747716366634511,-0.24563170662458494,0.0013963567145010014,101
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_snap_distance_nm,81,10.01437266777531,3.4414617942459556,-0.008067293798395948,-0.7986620860411988,-0.017915995932076337,-0.04368876865226505,-0.15626771753539184,0.014350775564120566,69
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,approach_barrier_force_nN,81,2.984143914574487,1.550190453245039,-0.008505613764423419,-0.8420557626779185,-0.19233559874597606,0.05334485823686953,-0.10975621197157621,0.06898104291875173,81
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,retract_contact_invOLS_nm_per_V,25,57.482706868963014,0.9646782437862236,-0.015706045087114356,-1.4449561480145208,-0.5065133611477708,-0.009089516445026334,-0.23629281862222337,0.20494594716944103,25
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,retract_detachment_piezo_travel_nm,25,821.0775423598379,31.94712596394958,-0.11442797372073507,-10.527373582307627,-0.02727492903824227,0.47425433898128333,0.37773682720339796,0.004475789084059323,24
