location,location_order,instrument_scan_number,point_index,gap_speed_um_per_s,far_sample_count,far_distance_min_nm,far_distance_max_nm,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN
A,12,16,43,0.9812761088349521,196,694.4150032425428,888.7280096561049,-0.0005418516149292759,0.8565344781546365
A,12,16,44,0.9799947101422444,199,703.2330359211568,900.459457564273,-0.0005273616016680241,0.844462124140314
A,12,16,45,0.979829011893621,198,704.9275564488091,901.0418613843154,-0.0005256917347275462,0.8430245289004443
A,12,16,46,0.9832194885864385,200,708.2854200208926,906.5347907045839,-0.0005218769028265509,0.8414323576199367
A,12,16,47,0.9842976037219469,200,711.0098257442261,910.1211782643187,-0.0005189323797619834,0.8395012829626476
A,12,16,48,0.9823076366941368,200,712.1268620243283,911.1956076589634,-0.0005163978914086333,0.8365955498839657
A,12,16,49,0.9804839583839211,200,711.1893258938876,909.3662650228166,-0.0005166958655736152,0.8360641846303254
A,12,16,50,0.9784577600400004,200,713.7938242098942,912.07834595609,-0.000512238530153007,0.8315754441930128
A,12,16,51,0.9761790782508183,200,712.1713191440223,911.1675143833903,-0.0005131015421343912,0.831316118368473
A,12,16,52,0.9798489370321577,200,717.2956310274132,916.7398901630544,-0.0005083326494380742,0.828969585160467
A,12,16,53,0.9879366904193271,200,704.0285300021187,903.0764646827654,-0.0005300871389173553,0.8500810867600896
A,12,16,54,0.9856591175813687,200,707.8030153758538,907.05552872789,-0.0005237786135997611,0.8440119345212687
A,12,16,55,0.9795749225671292,200,713.9006763202382,912.7779091787377,-0.0005129640793151016,0.8326394634750351
A,12,16,56,0.9860608301991677,197,700.9224243069643,896.1083792961124,-0.0005349586402499203,0.8531251051155924
A,12,16,57,0.9877930252790852,195,690.0360738086522,883.2616867476038,-0.0005522404246781386,0.8675779331695298
A,12,16,58,0.9900978505760166,196,692.7364592851176,886.8611152273771,-0.0005491987503478128,0.8661995135432936
A,12,16,59,0.9876589871389887,198,698.0748806794302,894.3370383896784,-0.0005390109846954504,0.8570790147604338
A,12,16,60,0.9811313114346145,200,709.9163897748825,908.284285370249,-0.000518507980896358,0.8378115675129898
A,12,16,61,0.9820339224656207,198,706.8347280249328,902.8818679500591,-0.000524435897353178,0.8429538505192664
A,12,16,62,0.9798091940461866,200,713.747859293744,912.5156517083502,-0.0005129749448949293,0.8327484205793931
A,12,16,63,0.9811356051032424,200,714.1731322655552,913.3780063778348,-0.0005131495233554809,0.8334518225516757
A,13,17,0,3.960130557566578,200,709.2515572734617,908.4863237762959,-0.0020964228841334346,3.3845455406271245
