branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
retract_far_to_contact,0.1,77.5,512,-0.009541325612977991,-0.005043283372989704,-0.0013866827027778639,-0.20824492888266732,-0.11007256537968463,-0.030265148946391717
retract_far_to_contact,0.1,82.5,512,-0.010112822686448586,-0.006118784095585639,-0.002440906963922365,-0.22071818178786728,-0.13354598831638956,-0.053274200853163235
retract_far_to_contact,0.1,87.5,512,-0.011148285950410161,-0.006341257373181031,-0.002539442524431307,-0.24331776412168843,-0.13840159578126113,-0.05542479623402812
retract_far_to_contact,0.1,92.5,512,-0.011721034498641356,-0.007305520066451798,-0.002557408835141717,-0.2558183311845946,-0.15944718463646704,-0.05581692131684515
retract_far_to_contact,0.1,97.5,512,-0.011842348985577372,-0.007622535309543349,-0.003943691761259971,-0.2584660897591543,-0.1663662249700792,-0.0860733449073035
retract_far_to_contact,0.1,102.5,512,-0.012983205196470338,-0.008432506460682582,-0.004043193738389017,-0.28336593388349746,-0.1840443120208529,-0.08824503288771776
retract_far_to_contact,0.1,107.5,512,-0.013322607932494748,-0.008914015546256537,-0.004835108889793521,-0.2907735941492628,-0.19455352524226502,-0.10552903734104299
retract_far_to_contact,0.1,112.5,512,-0.013795342789472281,-0.009005086755084685,-0.004771661900505764,-0.30109130477615315,-0.1965412068469972,-0.10414427024389279
retract_far_to_contact,0.1,117.5,512,-0.014857515305871774,-0.009299208353229671,-0.0054649031339137205,-0.3242738319333726,-0.2029605801891299,-0.11927465958446938
retract_far_to_contact,0.1,122.5,512,-0.015696248823319464,-0.010335977322524559,-0.006145751986140591,-0.3425796742007019,-0.22558866029415256,-0.1341345780657104
retract_far_to_contact,0.1,127.5,512,-0.016618368104040132,-0.011087626968782821,-0.0065645225561939136,-0.3627054587954357,-0.24199384689807973,-0.14327448703813775
retract_far_to_contact,0.1,132.5,512,-0.017654452933799247,-0.0117935366030828,-0.007628775301750497,-0.38531860716091276,-0.2574007313872159,-0.16650241639526633
retract_far_to_contact,0.1,137.5,512,-0.018491166014773,-0.012515855852544333,-0.007756781702334875,-0.4035803522380932,-0.2731657651819017,-0.16929622984084897
retract_far_to_contact,0.1,142.5,512,-0.019066534316835193,-0.013075107940750202,-0.008294188603337638,-0.4161380969377719,-0.2853717642285651,-0.18102544509036875
retract_far_to_contact,0.1,147.5,512,-0.020849118278950793,-0.01490071760512185,-0.009151519035721922,-0.4550440189737231,-0.3252167470061653,-0.19973717574108368
retract_far_to_contact,0.1,152.5,512,-0.022225741210447486,-0.014864893444847205,-0.009607368717129111,-0.4850896076158135,-0.3244348640675381,-0.20968635768250135
retract_far_to_contact,0.1,157.5,512,-0.022549365630800733,-0.01585837390218603,-0.010741417600590303,-0.49215289705113985,-0.3461181474577871,-0.23443762796350112
retract_far_to_contact,0.1,162.5,512,-0.024570962499995283,-0.017156058672655017,-0.011510069921993563,-0.5362754134949996,-0.3744408652540294,-0.25121390774881697
retract_far_to_contact,0.1,167.5,512,-0.027126695054221966,-0.017846881083456972,-0.012433182039357227,-0.5920557490150595,-0.38951846239758875,-0.2713613615753221
retract_far_to_contact,0.1,172.5,512,-0.029342852447012915,-0.01898201318784916,-0.013073225166499891,-0.6404246609854064,-0.41429337459952165,-0.28533067159576314
retract_far_to_contact,0.1,177.5,512,-0.030429916796393175,-0.01970877239165461,-0.013187336720927242,-0.6641504667392382,-0.4301553129559104,-0.28782122201824234
retract_far_to_contact,0.1,182.5,512,-0.031930533066076586,-0.020525576594984496,-0.013948811834580757,-0.6969022814278956,-0.4479825353077117,-0.30444085510916297
retract_far_to_contact,0.1,187.5,512,-0.03404311632192121,-0.021494398827964917,-0.014876819999311716,-0.7430106281835794,-0.46912763874412877,-0.3246951679903912
retract_far_to_contact,0.1,192.5,512,-0.03683498547706959,-0.022945579758828716,-0.015578180522858559,-0.8039447810724385,-0.5008004986801281,-0.3400027655163011
retract_far_to_contact,0.1,197.5,512,-0.03949494432564554,-0.024536589355178717,-0.017270286336129495,-0.8619999155182309,-0.5355251998047695,-0.3769339498233602
retract_far_to_contact,0.1,202.5,512,-0.04233841665200411,-0.02569097470349324,-0.017776964664922637,-0.9240603373507017,-0.5607203251483559,-0.3879924962796722
retract_far_to_contact,0.1,207.5,512,-0.04679550924731048,-0.0280571561094832,-0.017984913882661976,-1.0213389512647428,-0.6123635976453811,-0.3925311077699281
retract_far_to_contact,0.1,212.5,512,-0.052953790581592206,-0.029214216832729595,-0.018622190555320606,-1.1557469895726076,-0.6376171145883134,-0.4064400383273204
retract_far_to_contact,0.1,217.5,512,-0.059634390898114564,-0.03134716088765899,-0.020157101405016434,-1.3015549406098752,-0.6841698475152055,-0.43994035198409104
retract_far_to_contact,0.1,222.5,512,-0.06330495107401296,-0.0329885771062951,-0.020676338978292186,-1.3816670312977581,-0.719994702213781,-0.4512730111874351
retract_far_to_contact,0.1,227.5,512,-0.06900037724928525,-0.03533066623262354,-0.022103915009387298,-1.5059729890792237,-0.7711121468260614,-0.48243068058566196
retract_far_to_contact,0.1,232.5,512,-0.07953174732612162,-0.037578547120058314,-0.0236605229551064,-1.7358262088147296,-0.8201734423449822,-0.5164045458642514
retract_far_to_contact,0.1,237.5,512,-0.09282108758317113,-0.04042065186260929,-0.025127366787857902,-2.0258737167797247,-0.8822040158728982,-0.5484192576583683
