acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
2,1,1.0,20,2,4,200.0,273.8624161197358,54.802124073093616
2,1,1.0,21,2,5,20.0,-932.9978811378999,-1147.409503151217
2,1,1.0,21,2,5,50.0,335.4805459340792,128.43644897013942
2,1,1.0,21,2,5,100.0,277.3499112173455,83.93938261272288
2,1,1.0,21,2,5,200.0,165.31672334917783,0.01028921855726741
2,1,1.0,22,2,6,20.0,nan,nan
2,1,1.0,22,2,6,50.0,610.0944219675716,167.63082623771743
2,1,1.0,22,2,6,100.0,407.8580502057962,-2.130304753183461
2,1,1.0,22,2,6,200.0,413.7155488837631,66.14919901334129
2,1,1.0,23,2,7,20.0,-2350.301319111487,-2271.907598013192
2,1,1.0,23,2,7,50.0,98.17070317813679,173.71892567725354
2,1,1.0,23,2,7,100.0,-4.467833904144795,65.15557229542742
2,1,1.0,23,2,7,200.0,-15.572206412227137,42.33620574306632
2,1,1.0,24,3,7,20.0,-866.4271843199296,-394.65638484027033
2,1,1.0,24,3,7,50.0,-302.39620772102114,152.2583595631544
2,1,1.0,24,3,7,100.0,-344.2488532684042,79.08754837228915
2,1,1.0,24,3,7,200.0,-380.0881790349107,-21.115721395254063
2,1,1.0,25,3,6,20.0,-929.5516005797781,-972.7378581946759
2,1,1.0,25,3,6,50.0,153.24265296228361,111.32186169696635
2,1,1.0,25,3,6,100.0,69.53491946001223,30.4169255333635
2,1,1.0,25,3,6,200.0,102.61616051226136,68.6728013509263
2,1,1.0,26,3,5,20.0,-1243.6407861433722,-1143.9434083939946
2,1,1.0,26,3,5,50.0,157.29788335469442,253.6097814036362
2,1,1.0,26,3,5,100.0,17.03960772907273,106.82771810885025
2,1,1.0,26,3,5,200.0,5.688265173114785,82.45785985860203
2,1,1.0,27,3,4,20.0,nan,nan
2,1,1.0,27,3,4,50.0,-131.32266737276683,166.51859289137278
2,1,1.0,27,3,4,100.0,-248.44036803901375,30.43987360868657
2,1,1.0,27,3,4,200.0,-230.90475479600408,6.8695811785172785
2,1,1.0,28,3,3,20.0,814.7547176192423,1165.0809554043633
2,1,1.0,28,3,3,50.0,-170.01509392185966,165.49310077539081
2,1,1.0,28,3,3,100.0,-266.330630680226,44.93002420243284
2,1,1.0,28,3,3,200.0,-227.44397363267694,37.211239519179614
2,1,1.0,29,3,2,20.0,1020.4581260139113,1098.7158075191737
2,1,1.0,29,3,2,50.0,94.7627700008025,169.66665725689745
2,1,1.0,29,3,2,100.0,0.011685482151277949,69.96780863414739
2,1,1.0,29,3,2,200.0,-0.7398438444596931,59.01783517122807
2,1,1.0,30,3,1,20.0,-10.715341086226402,9.414822054516577
2,1,1.0,30,3,1,50.0,161.32439612278233,180.75194953353926
2,1,1.0,30,3,1,100.0,67.17794981941195,85.25727561236356
2,1,1.0,30,3,1,200.0,66.16666154348283,81.7681704209144
2,1,1.0,31,3,0,20.0,nan,nan
