before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
24,25,200.0,line,2.0,1.0,16.721,64,37.06843785377023,-73.70600029030993,167.76125844166927,0.609375,679.9806682891711
24,25,20.0,constant,2.0,1.0,16.721,64,-7.471781079033576,-96.64666106648585,64.68242413915095,0.453125,27.883221053923535
24,25,50.0,constant,2.0,1.0,16.721,64,-11.737846989183936,-57.238127745438845,28.63728046647836,0.375,-11.813145361336694
24,25,100.0,constant,2.0,1.0,16.721,64,-14.304321070750625,-58.154413837210996,20.85844416220451,0.40625,-48.74981864234787
24,25,200.0,constant,2.0,1.0,16.721,64,-6.049623998032608,-56.564448955412836,41.256695229675145,0.453125,-0.5798130552994394
25,26,20.0,line,1.0,4.0,13.892,64,-18.222077197443753,-267.06207661254285,229.90316887151934,0.484375,-958.2069908666772
25,26,50.0,line,1.0,4.0,13.892,64,-17.700057629726565,-299.45032893542884,187.2555240391557,0.453125,-888.2779272702817
25,26,100.0,line,1.0,4.0,13.892,64,-4.658136859046728,-292.67955876043123,155.10739937587277,0.5,-780.8723982521137
25,26,200.0,line,1.0,4.0,13.892,64,-18.6978295618189,-248.59809571504942,120.7723656702822,0.4375,-687.1055019432056
25,26,20.0,constant,1.0,4.0,13.892,64,30.211983007420372,-26.83619952760239,133.91170072692682,0.609375,-9.176112184042267
25,26,50.0,constant,1.0,4.0,13.892,64,37.260970742194075,-35.78295567621929,102.43891429311796,0.640625,18.464345670884313
25,26,100.0,constant,1.0,4.0,13.892,64,26.393498104412256,-37.40531600674044,91.57652390571387,0.578125,63.81971993249008
25,26,200.0,constant,1.0,4.0,13.892,64,21.44859320523355,-51.23613035753554,66.77914862450709,0.59375,34.775687948861716
26,27,20.0,line,4.0,2.0,40.153,64,-33.80596930268186,-119.24761010594904,64.4308609017811,0.4375,10.973737311569721
26,27,50.0,line,4.0,2.0,40.153,64,-40.64826955856547,-93.88908814749678,44.66111235283315,0.375,52.101502329899574
26,27,100.0,line,4.0,2.0,40.153,64,-46.52545327471738,-77.96890193405366,46.816213276169144,0.40625,52.78274208117768
26,27,200.0,line,4.0,2.0,40.153,64,-16.87941917783785,-67.13171407482665,37.080378128690036,0.390625,13.177547421699948
26,27,20.0,constant,4.0,2.0,40.153,64,-13.861791134534656,-78.54031784241562,36.263446593013384,0.4375,-23.100293398361373
26,27,50.0,constant,4.0,2.0,40.153,64,-8.814586459360157,-34.75914725054827,20.514254211815363,0.390625,19.309932359403888
26,27,100.0,constant,4.0,2.0,40.153,64,-3.902794136258322,-25.480906777484854,24.393367555673393,0.453125,22.58439821590484
26,27,200.0,constant,4.0,2.0,40.153,64,0.49169992912788274,-24.81358859529297,24.524430374447903,0.515625,-12.704628200501233
27,28,20.0,line,2.0,2.0,13.434,64,6.609206951588362,-87.58411135844273,83.81224430882952,0.546875,-112.49555726847848
27,28,50.0,line,2.0,2.0,13.434,64,3.152575439163506,-45.552799970970945,49.08944647464524,0.5,-114.82089420818963
27,28,100.0,line,2.0,2.0,13.434,64,4.436404072601665,-48.806842978968255,37.36796522287132,0.546875,-97.7881122867832
