speed_um_per_s,candidate_start_nm,candidate_stop_nm,candidate_start_time_s,candidate_stop_time_s,training_blocks,validation_blocks,training_map_median_score_V,validation_map_median_score_V,training_map_median_drift_V,validation_map_median_drift_V,training_map_median_pre_guard_mismatch_V,validation_map_median_pre_guard_mismatch_V,training_map_median_post_guard_mismatch_V,validation_map_median_post_guard_mismatch_V,training_map_median_roughness_V,validation_map_median_roughness_V,selected_from_training,within_1pct_contiguous_training_minimum,fixed_100_220nm_reference
0.3,135.0,255.0,0.45,0.85,1+3,2+4,0.008630266240450511,0.0072247820413761585,0.004570364618748837,0.003811053513534876,0.002460058351704264,0.002142874854783511,0.004341170574059194,0.003816619099899124,0.002357931406265279,0.0024049673898640794,False,False,False
0.3,140.0,260.0,0.4666666666666667,0.8666666666666667,1+3,2+4,0.008878669901261557,0.00792488118265416,0.004539550181465402,0.0041768123080094255,0.002669442593835142,0.0023765185875093686,0.004545336861704108,0.0038668331341250584,0.0023559394756051955,0.0023768467520020736,False,False,False
0.3,145.0,265.0,0.48333333333333334,0.8833333333333333,1+3,2+4,0.009164007189485575,0.008076823776187108,0.00471265173687499,0.004233237480996729,0.0025508486739749814,0.0025855263443167603,0.004735898575809597,0.0038111226922786096,0.002324250048885479,0.002353189012187798,False,False,False
0.3,150.0,270.0,0.5,0.9,1+3,2+4,0.00950790237226716,0.008502547852876897,0.004788929123509811,0.004300015478937866,0.002857049784611182,0.0028192197884010783,0.004915132009912074,0.004247913803615236,0.0023622524705066705,0.0023814375785807945,False,False,False
0.3,155.0,275.0,0.5166666666666667,0.9166666666666666,1+3,2+4,0.00987565379266549,0.009135906366640578,0.0051281882875686274,0.004763183159005355,0.0029267753532443985,0.0029772014429158555,0.005153457648768636,0.004282036305848058,0.002369080655851119,0.0023132085651815792,False,False,False
0.3,160.0,280.0,0.5333333333333333,0.9333333333333333,1+3,2+4,0.010392408579069597,0.009463792580000109,0.0052438874767824495,0.004664180381252478,0.003118354933488332,0.003075352870199888,0.005680702922350345,0.004829142831506067,0.002359604210861399,0.002343493559114937,False,False,False
0.3,165.0,285.0,0.55,0.95,1+3,2+4,0.010756880266516396,0.009566809810678135,0.005759020908108037,0.0046163622259285525,0.003234334313995224,0.0032342574873502478,0.005885088218078094,0.005286205400534955,0.0024425269284730766,0.0023381045697447034,False,False,False
0.3,170.0,290.0,0.5666666666666667,0.9666666666666667,1+3,2+4,0.011250322685376839,0.009950675706773597,0.005808576179925556,0.004893202695794421,0.003315900919651449,0.0032722279268388305,0.006220177885394057,0.0058246357297859624,0.0023916760326467834,0.002358328401869697,False,False,False
0.3,175.0,295.0,0.5833333333333334,0.9833333333333333,1+3,2+4,0.011719501094428236,0.010588793127129091,0.006028586138034475,0.005148364494126548,0.003610657293605324,0.0033880626924845253,0.006596976425413292,0.006042020371953574,0.002375107202085419,0.0023214877659841066,False,False,False
0.3,180.0,300.0,0.6,1.0,1+3,2+4,0.012528759426401609,0.011061622018529359,0.006547897061636498,0.005320632428292782,0.0035830448935489922,0.0034553885582653265,0.007187844937644516,0.00659429409784365,0.0023758483532489716,0.002378082235695897,False,False,False
0.9,20.0,140.0,0.022222222222222223,0.15555555555555556,1+3,2+4,0.07077022536992436,0.05963677460990079,0.014001320239200324,0.011249192707957933,0.10952581022672078,0.09231349498253927,0.005775200043334525,0.005144772413932817,0.0032637634382453925,0.0033267397339705115,False,False,False
0.9,25.0,145.0,0.027777777777777776,0.16111111111111112,1+3,2+4,0.04793896626609749,0.03748068631302414,0.011097479899096277,0.008582000335267945,0.06644188658373971,0.05376502711276663,0.005835717886419437,0.00513305513385845,0.0031403708079435246,0.0031136233159990423,False,False,False
0.9,30.0,150.0,0.03333333333333333,0.16666666666666666,1+3,2+4,0.03318301543728632,0.027392559395177107,0.009068917529965533,0.007145313567918664,0.041122781000237876,0.033357713839726424,0.006042439615998128,0.005197956614923033,0.0030837895482430985,0.0031004313814989026,False,False,False
0.9,35.0,155.0,0.03888888888888889,0.17222222222222222,1+3,2+4,0.025374974719300558,0.02066748983502597,0.007908215710430678,0.006610899082120494,0.02718327075181258,0.02160994923073467,0.0055958449380744905,0.005013190619484728,0.003032524275218533,0.0031064245550728106,False,False,False
0.9,40.0,160.0,0.044444444444444446,0.17777777777777778,1+3,2+4,0.019704929842692974,0.01653111163362336,0.007002473715106896,0.006080607510393382,0.017643099624300967,0.01390414322406995,0.005428943744838396,0.004847985522180444,0.0029939468704712376,0.0031877495565739017,False,False,False
0.9,45.0,165.0,0.05,0.18333333333333332,1+3,2+4,0.016905808912756497,0.015119980154693562,0.006908019700475377,0.005874084626248839,0.012629056959083576,0.010205037604154692,0.0057074865680101505,0.005382089225079892,0.002931376608779431,0.0031508991869956884,False,False,False
0.9,50.0,170.0,0.05555555555555555,0.18888888888888888,1+3,2+4,0.015387132819387635,0.01321197912803556,0.007211080304727238,0.006292138379370045,0.010125548446600532,0.007495510273749867,0.005822862111945132,0.005527777573498642,0.0029371730227105014,0.003153518245563307,False,False,False
0.9,55.0,175.0,0.06111111111111111,0.19444444444444445,1+3,2+4,0.014367210786156707,0.012958358034186023,0.007224235042616434,0.006365071894972006,0.007536780782654845,0.005613720169233033,0.00582714597957594,0.00576970850256027,0.0030442109636876335,0.0031426422346333208,False,False,False
