speed_um_per_s,scanner_travel_bin_center_nm,curve_count,endpoint_delta_V_q25,endpoint_delta_V_median,endpoint_delta_V_q75,dynamic_baseline_delta_V_q25,dynamic_baseline_delta_V_median,dynamic_baseline_delta_V_q75,dynamic_baseline_delta_nN_prior_D3_scale_median
0.3,287.5,512,0.011864971477659442,0.026774861697509922,0.04150199836286281,0.006821309881187024,0.009222593068409779,0.011448253326212951,0.20128840745487775
0.3,292.5,512,0.011981280760818572,0.026659111406410585,0.0428187556086773,0.007281813658174374,0.00964335417859527,0.01190841850975155,0.21047176111256952
0.3,297.5,512,0.012226106768158634,0.02769054909322677,0.04312748747938398,0.00825357477105007,0.010442719776405457,0.012934688996335625,0.22791837585138644
0.3,302.5,512,0.013428559871485501,0.02785534885176133,0.04395758303993111,0.008547153368201776,0.01099000359432134,0.013298145077251453,0.2398631605032705
0.3,307.5,512,0.014210817809323623,0.02904256872620145,0.044787125170528796,0.009214027418939522,0.011910641267978417,0.014285329226019133,0.25995660817019106
0.3,312.5,512,0.014758924124262399,0.03010160977464557,0.04619234916714289,0.010527433493451727,0.013023447062648685,0.015526794969204241,0.28424423579880126
0.3,317.5,512,0.015601314033800814,0.03115398324367266,0.047824966822950676,0.011196428793908253,0.013798452008987605,0.016572531450419814,0.30115916528349906
0.3,322.5,512,0.016617516405939364,0.03117207817817791,0.04866289035812302,0.011908235655383903,0.014895023394962903,0.01831197360123192,0.3250924675886408
0.3,327.5,512,0.018034923509343784,0.033463652221074086,0.04935053263250644,0.013317481752824212,0.016584364144277497,0.019565137157106616,0.3619633027817192
0.3,332.5,512,0.018841535146015387,0.03578648532242554,0.05151673601971608,0.014403832066327393,0.017732226528036188,0.021190859882249335,0.38701606066556954
0.3,337.5,512,0.02010544608902512,0.03539341239604557,0.05388990760750563,0.015187944272601783,0.01910493442932476,0.0229466219591985,0.4169762015176637
0.3,342.5,512,0.021157672857399654,0.03760125721537355,0.05564026818033674,0.016614953663735776,0.02050257726994681,0.024837743546212238,0.44748056178735435
0.3,347.5,512,0.02338765209365351,0.03900778691732043,0.05883804135447643,0.017912473656694655,0.0227795215728962,0.027363900275536257,0.4971761830952092
0.3,352.5,512,0.02578504945174577,0.041163791480498174,0.06126378809220637,0.019952030579225732,0.025415679457324286,0.030171231401347143,0.5547118477851881
0.3,357.5,512,0.027801437404882848,0.04290172560422453,0.06465331848647929,0.022509480434929174,0.027835204279704595,0.03354070969364284,0.607519371079551
0.3,362.5,512,0.03041061975085449,0.04653215932772803,0.0690606892942982,0.02507828255723496,0.030683989116420174,0.03737727660595569,0.669695741511447
0.3,367.5,512,0.033615403269442345,0.04959329301122867,0.07419865785711835,0.027533696199419352,0.03497320888739175,0.04200007141215198,0.7633104343119081
