scanner_travel_bin_center_nm,block,speed_um_per_s,early_order,late_order,early_position_in_block,late_position_in_block,early_map_median_corrected_V,late_map_median_corrected_V,later_minus_earlier_V,palindrome_pair_mean_corrected_V
62.5,3,0.1,19,22,3,6,-1.9788597014125386e-05,-0.0002813732419209476,-0.0002615846449068222,-0.0001505809194675365
62.5,3,0.3,20,21,4,5,-0.001161791297839887,-0.0008882272584227469,0.00027356403941714014,-0.001025009278131317
62.5,3,0.9,17,24,1,8,-0.005998332430970255,-0.00504000729017293,0.0009583251407973246,-0.005519169860571592
62.5,3,2.7,18,23,2,7,-0.11955744140230928,-0.11400169719187053,0.005555744210438751,-0.11677956929708991
62.5,4,0.1,26,31,2,7,0.00030732187581020143,-0.00019494083287063813,-0.0005022627086808396,5.619052146978165e-05
62.5,4,0.3,27,30,3,6,-0.0007449556468187013,-0.0007620118572728707,-1.7056210454169385e-05,-0.000753483752045786
62.5,4,0.9,28,29,4,5,-0.004817891378148004,-0.004158948201071183,0.0006589431770768206,-0.004488419789609593
62.5,4,2.7,25,32,1,8,-0.11373267183425034,-0.10920775904063304,0.004524912793617303,-0.11147021543744169
67.5,1,0.1,1,8,1,8,-0.00013669441647534697,-0.00010499873238184465,3.169568409350232e-05,-0.00012084657442859581
67.5,1,0.3,2,7,2,7,-0.0007666297991380522,-0.0011836197987130648,-0.0004169899995750126,-0.0009751247989255585
67.5,1,0.9,3,6,3,6,-0.004867116052049647,-0.004909536874838305,-4.2420822788658e-05,-0.004888326463443976
67.5,1,2.7,4,5,4,5,-0.137876609592885,-0.13469093609388555,0.003185673498999453,-0.13628377284338528
67.5,2,0.1,12,13,4,5,-0.0005897004691217678,5.086410583754475e-05,0.0006405645749593125,-0.0002694181816421115
67.5,2,0.3,9,16,1,8,-0.0009106703724559018,-0.0009014622992757904,9.208073180111409e-06,-0.0009060663358658461
67.5,2,0.9,10,15,2,7,-0.0038896183179260024,-0.004237590875002861,-0.0003479725570768588,-0.004063604596464432
67.5,2,2.7,11,14,3,6,-0.11422108071733575,-0.10742760850166233,0.006793472215673418,-0.11082434460949904
67.5,3,0.1,19,22,3,6,-0.00045897975883502085,0.00025073853031847525,0.0007097182891534961,-0.0001041206142582728
