source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,13,1,2,50.0,31.20177705211173,61.8545583755954
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,14,1,1,50.0,102.21157630767757,50.446181390317086
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,15,1,0,50.0,70.28765095111444,43.69254472998316
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,16,2,0,50.0,46.333253834252936,50.07798612084461
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,17,2,1,50.0,104.27353701920165,39.456732216860416
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,18,2,2,50.0,113.2461348803653,55.87846592492347
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,19,2,3,50.0,-15.6504029158246,79.45094556420204
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,20,2,4,50.0,84.6228456718731,106.07991305791822
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,21,2,5,50.0,76.08532967145707,68.72308236668036
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,22,2,6,50.0,55.12475488914542,24.29668963775318
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,23,2,7,50.0,-31.69317874802697,56.10132251246862
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,24,3,7,50.0,-18.045887615333505,66.85212769883812
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,25,3,6,50.0,-3.647247960351988,67.94565641469279
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,26,3,5,50.0,127.2167294898953,95.8957395187872
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,27,3,4,50.0,-61.19104899217062,71.652384092222
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,28,3,3,50.0,-15.135998403550714,62.124540646418346
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,29,3,2,50.0,23.414579182067268,64.55621407777575
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,30,3,1,50.0,49.115336600822225,60.297341318130776
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,31,3,0,50.0,33.38685583384286,59.46291516704729
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,32,4,0,50.0,69.34995134720124,47.30241937211842
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,33,4,1,50.0,85.52960583027894,74.59138294706989
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,34,4,2,50.0,3.594857685866942,77.23739841341109
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,35,4,3,50.0,19.833565237183482,47.61243186575037
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,36,4,4,50.0,-46.369669262088344,40.6143565922804
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,37,4,5,50.0,-57.989686529458965,42.36060854239032
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,38,4,6,50.0,50.377821121439446,18.108679434425436
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,39,4,7,50.0,-70.57804553059819,6.358715156430247
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,40,5,7,50.0,35.160947182341644,15.029190462302756
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,41,5,6,50.0,-23.026128964652347,52.52899468197815
