source,timestamp,map_order,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,valid_pixels
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,170.0,-0.279738528966492,-8.697112847047231,12.773499232770588,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,175.0,0.1307634235486943,-11.05126837278737,10.558074741396654,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,180.0,-0.8374121573642245,-8.903930737491546,10.84656433827422,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,185.0,-0.056290653049339,-8.895682264697095,12.028165457193236,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,190.0,-1.420422492517608,-11.037343531618406,8.706218687981893,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,195.0,-1.1782899040336292,-10.975819976473778,9.496623419742681,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,200.0,-1.0371789339680502,-10.585333135362946,9.421278498893829,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,205.0,-1.1861836038044924,-12.478682850308658,10.210160663096119,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,210.0,-2.925103578097505,-10.082738018851307,7.217901508106996,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,215.0,-1.2836574919893833,-12.00693820462523,7.392316795745849,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,220.0,-2.696807137526926,-9.26022632847043,8.365887883056526,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,225.0,0.5116418286088282,-8.486111591368328,9.698001457161453,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,230.0,-1.5632777632815924,-9.92292755400958,9.549277649301839,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,235.0,0.20706918800268329,-9.899867307487344,10.125709901313233,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,240.0,1.0941200042272743,-9.108871287353962,11.44784548413396,64
