block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
1,0.1,2.7,2.6,65.0,200.0,1263.9441107064192,136.37558867135212,1127.5685220350672,433.68020078271815,41761.7971124099
1,0.1,2.7,2.6,70.0,200.0,1177.6512652552587,136.37558867135212,1041.2756765839067,400.4906448399641,43129.761751996135
1,0.1,2.7,2.6,75.0,200.0,1092.1485131015017,136.37558867135212,955.7729244301496,367.6049709346729,44112.59651216074
1,0.1,2.7,2.6,80.0,200.0,1012.9560200226233,136.37558867135212,876.5804313512712,337.1463197504889,44952.84263339851
1,0.1,2.7,2.6,85.0,200.0,937.2111412695501,136.37558867135212,800.835552598198,308.01367407622996,45532.456167790515
1,0.1,2.7,2.6,90.0,200.0,884.6604603127487,136.37558867135212,748.2848716413965,287.80187370822944,47094.85206134663
1,0.1,2.7,2.6,95.0,200.0,827.160277014116,136.37558867135212,690.7846883427638,265.6864185933707,48076.59003118137
1,0.1,2.7,2.6,100.0,200.0,775.9394624602444,136.37558867135212,639.5638737888922,245.9861053034201,49197.221060684016
1,0.1,2.7,2.6,105.0,200.0,725.9005240310595,136.37558867135212,589.5249353597073,226.74035975373357,50121.55320872004
1,0.1,2.7,2.6,110.0,200.0,679.8375165230019,136.37558867135212,543.4619278516498,209.02381840448066,51094.711165539724
1,0.1,2.7,2.6,115.0,200.0,640.3167230733676,136.37558867135212,503.94113440201545,193.8235132315444,52446.36240382966
1,0.1,2.7,2.6,120.0,200.0,593.3840396984643,136.37558867135212,457.0084510271122,175.7724811642739,52731.74434928217
1,0.1,2.7,2.6,125.0,200.0,556.5025677451123,136.37558867135212,420.12697907376014,161.58729964375388,53862.43321458463
1,0.1,2.7,2.6,130.0,200.0,513.7115246406736,136.37558867135212,377.33593596932144,145.1292061420467,53905.13370990306
1,0.1,2.7,2.6,135.0,200.0,484.4026236888318,136.37558867135212,348.02703501747965,133.85655192979985,55601.952340070704
1,0.1,2.7,2.6,140.0,200.0,444.5826521317833,136.37558867135212,308.2070634604312,118.541178254012,55319.21651853894
1,0.1,2.7,2.6,145.0,200.0,418.6540264085272,136.37558867135212,282.27843773717507,108.56862989891349,57245.27758306348
1,0.1,2.7,2.6,150.0,200.0,387.86658950303666,136.37558867135212,251.49100083168454,96.72730801218636,58036.3848073118
1,0.1,2.7,2.6,155.0,200.0,351.51989551735505,136.37558867135212,215.14430684600293,82.74781032538574,57004.04711304352
1,0.1,2.7,2.6,160.0,200.0,326.924184639368,136.37558867135212,190.54859596801586,73.28792152615995,58630.33722092795
1,0.1,2.7,2.6,165.0,200.0,309.2302549072581,136.37558867135212,172.85466623590597,66.4825639368869,62683.56028335052
1,0.1,2.7,2.6,170.0,200.0,276.441068280192,136.37558867135212,140.06547960883987,53.87133831109225,61054.183419237896
1,0.1,2.7,2.6,175.0,200.0,258.45469517876893,136.37558867135212,122.07910650741681,46.953502502852615,65734.90350399367
1,0.1,2.7,2.6,180.0,200.0,229.45343010507295,136.37558867135212,93.07784143372083,35.79916978220032,64438.50560796057
1,0.1,2.7,2.6,185.0,200.0,206.90736594215645,136.37558867135212,70.53177727080433,27.12760664261705,66914.76305178869
1,0.1,2.7,2.6,190.0,200.0,176.43241922788337,136.37558867135212,40.05683055653125,15.406473290973558,58544.59850569957
1,0.1,2.7,2.6,195.0,200.0,161.52911479457973,136.37558867135212,25.153526123227607,9.67443312431831,75460.57836968289
1,0.1,2.7,2.6,200.0,200.0,136.37558867135212,136.37558867135212,0.0,0.0,nan
2,0.1,0.3,0.19999999999999998,20.0,200.0,407.94614074478454,42.237303494065614,365.70883725071894,1828.544186253595,40634.31525007988
2,0.1,0.3,0.19999999999999998,25.0,200.0,335.9896474384783,42.237303494065614,293.7523439444127,1468.7617197220636,41964.62056348753
2,0.1,0.3,0.19999999999999998,30.0,200.0,301.1036295105671,42.237303494065614,258.8663260165015,1294.3316300825074,45682.292826441444
2,0.1,0.3,0.19999999999999998,35.0,200.0,275.07533297691054,42.237303494065614,232.83802948284495,1164.1901474142248,49389.8850418156
2,0.1,0.3,0.19999999999999998,40.0,200.0,231.4518248833141,42.237303494065614,189.2145213892485,946.0726069462426,47303.63034731213
2,0.1,0.3,0.19999999999999998,45.0,200.0,229.55302636117716,42.237303494065614,187.31572286711156,936.5786143355579,54381.98405819368
2,0.1,0.3,0.19999999999999998,50.0,200.0,204.56486995104893,42.237303494065614,162.32756645698333,811.6378322849167,54109.18881899445
2,0.1,0.3,0.19999999999999998,55.0,200.0,205.452703930959,42.237303494065614,163.2154004368934,816.077002184467,61909.28982089061
2,0.1,0.3,0.19999999999999998,60.0,200.0,178.0750657554065,42.237303494065614,135.8377622613409,679.1888113067046,58216.18382628897
2,0.1,0.3,0.19999999999999998,65.0,200.0,159.54068544061911,42.237303494065614,117.3033819465535,586.5169097327675,56479.40612241465
2,0.1,0.3,0.19999999999999998,70.0,200.0,150.2475338204748,42.237303494065614,108.0102303264092,540.0511516320461,58159.35479114342
