block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
1,0.3,135.0,2,7,127.7537073678634,102.99838402521567,115.37604569653953,12.377661671323864
1,0.3,140.0,2,7,105.05149337316124,106.72001852532458,105.8857559492429,0.8342625760816702
1,0.3,145.0,2,7,108.95144518250166,94.46418685803596,101.70781602026881,7.24362916223285
1,0.3,150.0,2,7,101.26449960658994,86.06600986263051,93.66525473461022,7.599244871979714
1,0.3,155.0,2,7,85.2253521846851,84.84777609275889,85.03656413872199,0.18878804596310061
1,0.3,160.0,2,7,87.82091859282434,75.28607161337632,81.55349510310033,6.26742348972401
1,0.3,165.0,2,7,83.17042039838367,86.1515484919677,84.66098444517569,1.4905640467920165
1,0.3,170.0,2,7,88.60064055922601,75.35900228282134,81.97982142102367,6.620819138202336
1,0.3,175.0,2,7,71.3089809587529,74.57768982476526,72.94333539175908,1.6343544330061803
1,0.3,180.0,2,7,70.4023344447313,54.203110664766385,62.30272255474884,8.099611889982455
1,0.3,185.0,2,7,68.49738933505293,54.56567649169438,61.53153291337365,6.965856421679273
1,0.3,190.0,2,7,63.14397666706529,56.683581806973905,59.9137792370196,3.230197430045692
1,0.3,195.0,2,7,51.12372000860104,53.98736709877072,52.55554355368588,1.4318235450848391
1,0.3,200.0,2,7,56.1702174899747,47.552751457590446,51.861484473782575,4.308733016192129
1,0.3,205.0,2,7,54.603732318072474,38.90650746681878,46.75511989244563,7.848612425626847
1,0.3,210.0,2,7,52.474179964942735,39.403569244351004,45.93887460464687,6.535305360295865
1,0.3,215.0,2,7,40.14450640903191,40.77806881935722,40.46128761419457,0.3167812051626555
1,0.3,220.0,2,7,28.404988095354376,30.64034127880589,29.522664687080134,1.1176765917257576
1,0.3,225.0,2,7,34.13995308440411,32.22949095679543,33.18472202059977,0.9552310638043409
1,0.3,230.0,2,7,35.595070705190295,25.98474025697117,30.78990548108073,4.8051652241095635
1,0.3,235.0,2,7,29.972003431140532,22.01908126111828,25.995542346129405,3.9764610850111257
1,0.3,240.0,2,7,24.66665343286398,22.54733986976455,23.606996651314265,1.059656781549716
1,0.3,245.0,2,7,24.819357199396165,24.85136584395918,24.835361521677672,0.016004322281506944
1,0.3,250.0,2,7,31.74304902458809,16.035767627137933,23.88940832586301,7.853640698725078
1,0.3,255.0,2,7,22.586190941970344,17.57282870341637,20.079509822693357,2.506681119276987
1,0.3,260.0,2,7,20.40716767131157,19.688646498397095,20.04790708485433,0.35926058645723735
1,0.3,265.0,2,7,16.74873864688006,10.6523841320213,13.70056138945068,3.04817725742938
1,0.3,270.0,2,7,16.120345334434173,13.959115689169575,15.039730511801874,1.080614822632299
1,0.3,275.0,2,7,8.084286840178768,15.335752487338048,11.710019663758409,3.62573282357964
1,0.3,280.0,2,7,-7.143709837511255,2.1610639690503546,-2.4913229342304506,4.652386903280805
1,0.3,285.0,2,7,8.09851842696969,11.361080705439921,9.729799566204806,1.6312811392351154
1,0.3,290.0,2,7,4.55009840869776,10.750199368823498,7.650148888760629,3.100050480062869
1,0.3,295.0,2,7,10.653477595034147,3.013269279120089,6.8333734370771175,3.820104157957029
1,0.3,300.0,2,7,10.43157087387393,4.224064186977973,7.327817530425952,3.1037533434479787
1,0.9,20.0,3,6,2132.5969849160474,2027.5280955404064,2080.0625402282267,52.534444687820496
1,0.9,25.0,3,6,1793.268373612968,1758.9037470146282,1776.086060313798,17.18231329916989
1,0.9,30.0,3,6,1553.9392743189896,1515.8858336785527,1534.9125539987713,19.026720320218487
1,0.9,35.0,3,6,1376.6969717699283,1323.8743084562552,1350.2856401130916,26.411331656836524
1,0.9,40.0,3,6,1250.3894852101548,1208.3887590660102,1229.3891221380825,21.000363072072332
1,0.9,45.0,3,6,1074.7970692391714,1077.4392735015795,1076.1181713703754,1.321102131204043
1,0.9,50.0,3,6,969.1952160504045,949.7714361154831,959.4833260829438,9.711889967460706
1,0.9,55.0,3,6,877.84211370829,865.3001095163938,871.5711116123418,6.271002095948063
1,0.9,60.0,3,6,794.4437062716885,796.9947223458577,795.7192143087731,1.2755080370845917
1,0.9,65.0,3,6,737.8510310033898,715.7685951580013,726.8098130806956,11.041217922694273
1,0.9,70.0,3,6,688.5383508263185,647.3218199063551,667.9300853663368,20.60826545998168
1,0.9,75.0,3,6,616.2631461869566,613.3969476830907,614.8300469350237,1.4330992519329584
1,0.9,80.0,3,6,569.6759391374981,547.8825254475994,558.7792322925487,10.896706844949335
1,0.9,85.0,3,6,535.0328770937476,518.5080498502191,526.7704634719834,8.262413621764267
