block,distance_nm,speed_intercept_pN,speed_slope_pN_per_um_s,distance_times_speed_slope_pN_nm_per_um_s,speed_linear_r2
1,155.0,49.19822217286251,129.67780109768665,20100.05917014143,0.9606158051504088
1,160.0,45.536356254539285,120.20105242238897,19232.168387582235,0.9647715810266025
1,165.0,48.24238116418615,111.45566147362703,18390.18414314846,0.9415757554742752
1,170.0,49.367910709843486,98.85923481496916,16806.069918544756,0.9270528002164636
1,175.0,44.40062687248516,93.01000944976457,16276.7516537088,0.92868999806167
1,180.0,41.537362612710595,82.76804080210597,14898.247344379075,0.9023187635209623
1,185.0,39.02808057410595,73.18710525893854,13539.614472903631,0.8890022910882683
1,190.0,40.48246931816732,61.58595754970383,11701.331934443728,0.8592626359520211
1,195.0,34.34926151011785,56.76450911501861,11069.07927742863,0.8804148109626994
1,200.0,37.46506237421729,47.517766755415025,9503.553351083005,0.8460930726524317
1,205.0,39.12934049552646,37.633293453598625,7714.825157987718,0.6925734767334366
1,210.0,38.01564821951598,32.622097628777595,6850.640502043295,0.6558188434531558
1,215.0,33.38709857323858,26.775677516898472,5756.770666133171,0.5756813144972618
1,220.0,28.885102872669016,21.326426681597496,4691.813869951449,0.47526455013110225
1,225.0,32.949862378000525,7.483521219835059,1683.7922744628884,0.10713862776543637
1,230.0,33.56577474898463,-0.1456061186272749,-33.48940728427323,3.5774418041811806e-05
1,235.0,31.118246744081837,-6.672004804546948,-1567.921129068533,0.0686585251781825
1,240.0,31.035447689284155,-11.877897004699227,-2850.6952811278143,0.26607817698636205
1,245.0,29.68487156235931,-17.115158023654917,-4193.213715795455,0.44515882790451755
1,250.0,31.800330490826376,-24.659994235224563,-6164.998558806141,0.6236628592679261
1,255.0,33.20834656117851,-31.868959988796565,-8126.584797143124,0.7100669700616005
1,260.0,33.10774806259615,-38.43162894542013,-9992.223525809233,0.7805479786475925
1,265.0,30.561005941666508,-45.0273041540963,-11932.23560083552,0.8492404476698066
1,270.0,29.69603232079818,-51.66737605177781,-13950.191533980009,0.8814080607223598
1,275.0,33.808107670857666,-60.468162815058825,-16628.744774141178,0.8589346403376262
1,280.0,33.04655742663864,-67.3608246687515,-18861.03090725042,0.862701842057038
1,285.0,36.930310145530086,-73.41309057346983,-20922.730813438902,0.8986824484443174
1,290.0,36.7342032541928,-80.7706862338099,-23423.49900780487,0.9117281220316877
1,295.0,35.1491945940039,-86.52808910755596,-25525.786286729006,0.92193713130434
1,300.0,35.75571963235718,-97.70717133607336,-29312.151400822007,0.9428859529445798
