source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,26,5,0.05,20.0,1049.7095364512418,1043.9033073166588,5.8062291345829635
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,26,5,0.05,50.0,53.8134333752956,51.00613123243682,2.8073021428587808
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,26,5,0.05,100.0,4.730318851211664,9.931030736054751,-5.200711884843087
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,26,5,0.05,200.0,3.0359809333916212,4.288547835592716,-1.252566902201095
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,27,5,0.2,20.0,819.918069799247,840.428927260933,-20.5108574616861
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,27,5,0.2,50.0,31.48733936999663,34.89698710153502,-3.4096477315383886
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,27,5,0.2,100.0,7.358507350586739,9.040249287870793,-1.6817419372840545
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,27,5,0.2,200.0,1.6184405102020323,2.884002482969313,-1.2655619727672809
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,28,5,0.2,20.0,735.7776465730467,739.4582200045714,-3.680573431524749
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,28,5,0.2,50.0,24.67136736983112,27.78818365328082,-3.116816283449701
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,28,5,0.2,100.0,6.697543219070374,7.863396781116173,-1.1658535620457995
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,28,5,0.2,200.0,2.52179080351916,2.69620636476013,-0.17441556124097035
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,29,5,0.05,20.0,495.91169471029434,483.9196080653152,11.992086644979167
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,29,5,0.05,50.0,16.158005139104773,14.738164765884445,1.4198403732203282
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,29,5,0.05,100.0,8.248576504102452,4.164949935012267,4.083626569090185
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,29,5,0.05,200.0,0.9868215279369585,0.20969834083672356,0.777123187100235
