block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_scan_number,late_scan_number,pair_center_time,early_late_separation_min,pixelwise_pairing_permitted,early_force_pN,late_force_pN,pair_mean_force_pN,history_half_difference_pN,history_half_difference_absolute_pN,early_gap_speed_um_per_s,late_gap_speed_um_per_s,pair_mean_gap_speed_um_per_s,pair_gap_speed_over_nominal
2,0.4,35.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,564.8643830273465,558.3580733088094,561.611228168078,-3.253154859268591,3.253154859268591,0.3615814843384553,0.36090465278801637,0.36124306856323585,0.9031076714080896
2,0.4,40.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,477.41099303827633,481.7006683165681,479.55583067742225,2.1448376391458908,2.1448376391458908,0.3689412833466371,0.3676474688013866,0.36829437607401183,0.9207359401850296
2,0.4,45.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,397.18343421070915,411.0590557160781,404.1212449633936,6.93781075268447,6.93781075268447,0.37015704741096905,0.3722088797467626,0.3711829635788658,0.9279574089471645
2,0.4,50.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,348.3606774037363,359.00047187732383,353.68057464053004,5.319897236793764,5.319897236793764,0.3780088688531658,0.3765816977603786,0.3772952833067722,0.9432382082669305
2,0.4,55.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,298.095262450984,306.2073124276335,302.15128743930876,4.056024988324737,4.056024988324737,0.37981173058723555,0.3799531068123875,0.37988241869981154,0.9497060467495289
2,0.4,60.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,276.67555394037026,253.5066527905305,265.0911033654504,-11.584450574919885,11.584450574919885,0.3853193631731669,0.3841107848672982,0.38471507402023253,0.9617876850505813
2,0.4,65.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,237.81698992236676,236.9921457920296,237.40456785719817,-0.4124220651685846,0.4124220651685846,0.3856542771515166,0.38677285359229124,0.38621356537190393,0.9655339134297598
2,0.4,70.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,209.6052249439117,219.59147646681345,214.59835070536258,4.9931257614508695,4.9931257614508695,0.386977145305307,0.38893961416531564,0.38795837973531133,0.9698959493382783
2,0.4,75.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,184.36554249343504,188.6864841205931,186.52601330701407,2.1604708135790247,2.1604708135790247,0.3888984103675021,0.3909890722367719,0.389943741302137,0.9748593532553425
2,0.4,80.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,168.5139272816388,174.1757066501833,171.34481696591104,2.8308896842722504,2.8308896842722504,0.39178653207392916,0.3928207722673733,0.3923036521706512,0.980759130426628
