block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN,pair_mean_gap_speed_um_per_s,gap_speed_over_nominal,additive_null_prediction_pN,theoretical_no_slip_prediction_pN,fitted_v_over_D_prediction_pN,shifted_v_over_D_prediction_pN,velocity_power_over_D_prediction_pN,empirical_power_shift_prediction_pN,actual_gap_theoretical_no_slip_prediction_pN,actual_gap_fitted_prediction_pN,actual_gap_shifted_prediction_pN
1,130.0,0.1,5.031297821516503,28.132697581398332,0.09962090371057657,0.9962090371057656,0.0,231.89150052728533,24.071140089851877,25.670576288116315,24.897996212821784,26.51883268318094,197.71592045434448,25.46017123667603,26.19354597684669
1,130.0,0.2,26.504204315950908,4.126291258174604,0.19863571755639484,0.9931785877819741,0.0,57.972875131821354,6.017785022462972,6.4176440720290815,4.777500843592916,5.142901788414564,46.63124774627118,6.004774678092139,6.169134430588417
1,130.0,0.4,69.22210059102187,-32.25898883957288,0.39569852285361706,0.9892463071340426,-0.0,-289.8643756591066,-30.08892511231484,-32.088220360145385,-29.675497056414706,-31.661734471595526,-244.3471682006165,-31.464945914768276,-32.362680407434965
1,135.0,0.1,5.255726374442357,27.826888022872183,0.09958952698368602,0.9958952698368602,0.0,243.84904831724737,25.312374923076856,27.488138691016584,26.181868105116862,28.395095250090808,208.21961509128047,26.812747516115795,27.787317443017578
1,135.0,0.2,24.241927220088108,1.3337760508598109,0.1986058838763984,0.993029419381992,0.0,60.96226207931186,6.328093730769217,6.872034672754149,5.023853963581997,5.506772786289069,48.25873257575123,6.214348304477086,6.407821638084161
1,135.0,0.4,72.85066346831478,-29.160664073731965,0.39734738215143584,0.9933684553785895,-0.0,-304.8113103965591,-31.640468653846064,-34.36017336377072,-31.20572206869887,-33.9018680363799,-256.47834766703255,-33.02709582059299,-34.19513908110156
1,140.0,0.1,-2.0511656915273724,31.137100909031602,0.09953610358896425,0.9953610358896425,0.0,254.9524855507836,26.4649501253572,29.190531435670717,27.37403486224801,30.152426941821712,218.98898549063534,28.199535256064536,29.43519923056424
1,140.0,0.2,18.376535286976537,6.085489069877383,0.19878956915672935,0.9939478457836467,0.0,63.73812138769592,6.616237531339302,7.297632858917683,5.252610432143287,5.8475790505848755,51.31556475764103,6.6079811015419425,6.878159159611606
1,140.0,0.4,54.17163261100866,-37.22258997890896,0.3973831067430162,0.9934577668575404,-0.0,-318.6906069384794,-33.081187656696486,-36.48816429458839,-32.6266452943913,-36.000005992406614,-270.3045502482772,-34.80751635760658,-36.313358390175736
1,145.0,0.1,2.855165589286473,34.23735569640725,0.09970948640440636,0.9970948640440636,0.0,265.29016849235177,27.538037382652686,30.788364929054246,28.483983222335624,31.801788404475218,229.8471458944891,29.59775661609532,31.107825622747825
1,145.0,0.2,14.701666014953755,0.6045433044164099,0.1987187764935161,0.9935938824675805,0.0,66.32254212308797,6.884509345663174,7.697091232263565,5.465590592527935,6.167446222619286,53.94825990441572,6.946997145858553,7.283154056316822
1,145.0,0.4,58.35840008253216,-34.841899000823645,0.39697785900762544,0.9924446475190636,-0.0,-331.61271061543965,-34.42254672831585,-38.4854561613178,-33.94957381486356,-37.96923462709453,-283.7954057989059,-36.54475376195401,-38.39097967906451
1,150.0,0.1,0.24237775320125665,37.183204053618596,0.09971048915888855,0.9971048915888855,0.0,274.9386725711487,28.539585489461803,32.29098505009995,29.519935025084063,33.352833584555896,239.143197292355,30.794822891136434,32.538630235814566
